File Name, LOG_XL500
Device Address, CA:24:1D:57:A1:AD
Sensor ID, CB-74-0B-26-8B
Modify Time, 2022-06-16 12:56:18
Is Saturate, not
Integration Time(ms), 11.706
Wavelength, 340, 345, 350, 355, 360, 365, 370, 375, 380, 385, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760, 765, 770, 775, 780, 785, 790, 795, 800, 805, 810, 815, 820, 825, 830, 835, 840, 845, 850, 855, 860, 865, 870, 875, 880, 885, 890, 895, 900, 905, 910, 915, 920, 925, 930, 935, 940, 945, 950, 955, 960, 965, 970, 975, 980, 985, 990, 995, 1000, 1005, 1010
Spectrum, 0.001242878963239491, 0.0010835814755409956, 0.0011023706756532192, 0.0010309797944501042, 0.0009142649942077696, 0.0008281943737529218, 0.0006438330747187138, 0.0003367892641108483, 0.0, 0.0, 0.0, 0.0, 0.0002307641989318654, 0.000684676575474441, 0.0011481336550787091, 0.0014763021608814597, 0.0017467783764004707, 0.00214025960303843, 0.0026979835238307714, 0.003616180969402194, 0.004838145803660154, 0.006215556059032679, 0.007439998909831047, 0.008282077498733997, 0.008608979173004627, 0.008536702021956444, 0.00822332501411438, 0.007907235994935036, 0.0077493148855865, 0.00782328937202692, 0.008050822652876377, 0.008395735174417496, 0.00874477718025446, 0.009088536724448204, 0.009437216445803642, 0.009775922633707523, 0.01017557643353939, 0.01060793362557888, 0.011079259216785431, 0.01155443862080574, 0.012011443264782429, 0.012439903803169727, 0.012836873531341553, 0.013161792419850826, 0.013377360999584198, 0.013479776680469513, 0.013514366932213306, 0.013511902652680874, 0.013592291623353958, 0.013742843642830849, 0.014023663476109505, 0.014447210356593132, 0.014903069473803043, 0.015500396490097046, 0.016182975843548775, 0.0169411301612854, 0.01769472286105156, 0.018342528492212296, 0.018774231895804405, 0.01898103579878807, 0.019041335210204124, 0.019036851823329926, 0.018979080021381378, 0.018774671480059624, 0.018319429829716682, 0.017543194815516472, 0.01651919260621071, 0.015341591089963913, 0.01417336892336607, 0.013075721450150013, 0.012051170691847801, 0.011066894046962261, 0.010079177096486092, 0.009025785140693188, 0.007938269525766373, 0.0069060861133039, 0.006028549280017614, 0.005305381957441568, 0.004687860608100891, 0.004133143927901983, 0.0036124896723777056, 0.0031077624298632145, 0.002599493833258748, 0.0021164880599826574, 0.0017522260313853621, 0.0015324887353926897, 0.001438311068341136, 0.0014001624658703804, 0.0013474593870341778, 0.0012124041095376015, 0.0010105898836627603, 0.0008104488370008767, 0.0006109705427661538, 0.0004696852993220091, 0.00040518975583836436, 0.00036448988248594105, 0.0003332305059302598, 0.00035913323517888784, 0.000384253216907382, 0.00040199863724410534, 0.00042712409049272537, 0.00044668931514024734, 0.000390881032217294, 0.0003995666920673102, 0.0003881105803884566, 0.00036467640893533826, 0.00034003760083578527, 0.0003071702376473695, 0.00025923619978129864, 0.000192199760931544, 0.00010398592712590471, 4.247861795647623e-7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
PPFD Spectrum, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007716754917055368, 0.0023181778378784657, 0.003935343120247126, 0.005121882539242506, 0.006133288145065308, 0.007604342419654131, 0.009698711335659027, 0.013150603510439396, 0.017796635627746582, 0.023123111575841904, 0.027989275753498077, 0.03150336816906929, 0.033106692135334015, 0.033185575157403946, 0.0323110893368721, 0.03139963373541832, 0.031096450984477997, 0.03172031044960022, 0.032979391515254974, 0.034743230789899826, 0.036553166806697845, 0.038369983434677124, 0.040236517786979675, 0.04208925738930702, 0.044235266745090485, 0.04655821993947029, 0.049089983105659485, 0.051678381860256195, 0.05422446131706238, 0.056678690016269684, 0.05902394279837608, 0.061068084090948105, 0.06262744963169098, 0.06367037445306778, 0.06439866125583649, 0.06495171785354614, 0.06590630114078522, 0.06721074879169464, 0.06917031854391098, 0.0718633159995079, 0.07475379854440689, 0.07839790731668472, 0.08252670615911484, 0.08710112422704697, 0.09171529114246368, 0.09583970904350281, 0.09888012707233429, 0.10076272487640381, 0.10187876224517822, 0.10265051573514938, 0.10313232243061066, 0.10280634462833405, 0.10107928514480591, 0.09752963483333588, 0.09252730011940002, 0.08657259494066238, 0.08057276904582977, 0.07487942278385162, 0.06951597332954407, 0.06430086493492126, 0.058983344584703445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 928
Cyanopic Lux, 435
